timestamp,tps,rtps,wtps,bread/s,bwrtn/s
2018-06-18 04:17:01 UTC,3.55,0.6,2.95,17.95,24.53
2018-06-18 04:18:01 UTC,3.68,0.72,2.97,16.67,24.54
2018-06-18 04:19:01 UTC,2.63,0.0,2.63,0.0,21.2
2018-06-18 04:20:01 UTC,3.7,0.32,3.38,2.53,29.08
2018-06-18 04:21:01 UTC,2.98,0.0,2.98,0.0,24.27
2018-06-18 04:22:01 UTC,2.94,0.03,2.9,0.93,24.16
2018-06-18 04:23:01 UTC,2.62,0.0,2.62,0.0,22.92
2018-06-18 04:24:01 UTC,2.97,0.0,2.97,0.0,24.15
2018-06-18 04:25:01 UTC,2.38,0.0,2.38,0.0,21.05
2018-06-18 04:26:01 UTC,3.45,0.07,3.38,0.53,28.68
2018-06-18 04:27:01 UTC,2.52,0.0,2.52,0.0,21.87
2018-06-18 04:28:01 UTC,2.95,0.0,2.95,0.0,23.9
2018-06-18 04:29:01 UTC,2.82,0.0,2.82,0.0,23.86
2018-06-18 04:30:01 UTC,5.96,1.4,4.56,36.24,42.9
2018-06-18 04:31:01 UTC,4.17,0.23,3.94,3.6,32.83
2018-06-18 04:32:01 UTC,2.95,0.0,2.95,0.0,24.12
2018-06-18 04:33:01 UTC,2.95,0.0,2.95,0.0,24.0
2018-06-18 04:34:01 UTC,2.95,0.0,2.95,0.0,24.4
2018-06-18 04:35:01 UTC,2.5,0.0,2.5,0.0,22.83
2018-06-18 04:36:01 UTC,3.31,0.0,3.31,0.0,27.04
2018-06-18 04:37:01 UTC,2.87,0.0,2.87,0.0,23.09
2018-06-18 04:38:01 UTC,2.82,0.0,2.82,0.0,22.67
2018-06-18 04:39:01 UTC,2.78,0.0,2.78,0.0,24.91
2018-06-18 04:40:01 UTC,2.74,0.03,2.7,1.07,22.82
2018-06-18 04:41:01 UTC,6.18,0.18,6.0,3.6,49.86
2018-06-18 04:42:01 UTC,7.12,1.25,5.87,34.13,47.73
2018-06-18 04:43:01 UTC,2.83,0.0,2.83,0.0,22.91
2018-06-18 04:44:01 UTC,13.78,5.52,8.26,427.69,91.81
2018-06-18 04:45:01 UTC,2.68,0.0,2.68,0.0,22.12
2018-06-18 04:46:01 UTC,3.38,0.08,3.3,0.67,26.54
2018-06-18 04:47:01 UTC,2.98,0.0,2.98,0.0,24.52
2018-06-18 04:48:01 UTC,3.4,0.0,3.4,0.0,29.6
2018-06-18 04:49:01 UTC,3.68,0.02,3.67,0.27,34.39
2018-06-18 04:50:01 UTC,3.03,0.0,3.03,0.0,26.38
2018-06-18 04:51:01 UTC,2.89,0.0,2.89,0.0,23.8
2018-06-18 04:52:01 UTC,2.89,0.0,2.89,0.0,23.53
2018-06-18 04:53:01 UTC,2.8,0.0,2.8,0.0,22.67
2018-06-18 04:54:01 UTC,3.02,0.03,2.98,0.27,24.14
2018-06-18 04:55:01 UTC,2.9,0.1,2.8,2.0,22.67
2018-06-18 04:56:01 UTC,2.96,0.0,2.96,0.0,26.06
2018-06-18 04:57:01 UTC,2.89,0.0,2.89,0.0,23.68
2018-06-18 04:58:01 UTC,2.88,0.08,2.8,4.93,27.74
2018-06-18 04:59:01 UTC,3.02,0.2,2.82,22.8,22.8
2018-06-18 05:00:01 UTC,5.86,0.63,5.23,13.19,41.18
2018-06-18 05:01:01 UTC,10.2,2.87,7.33,96.28,60.01
2018-06-18 05:02:01 UTC,2.92,0.0,2.92,0.0,23.61
2018-06-18 05:03:01 UTC,3.08,0.33,2.75,53.32,22.39
2018-06-18 05:04:01 UTC,2.53,0.0,2.53,0.0,21.72
2018-06-18 05:05:01 UTC,3.62,0.5,3.12,15.07,25.34
2018-06-18 05:06:01 UTC,3.48,0.63,2.85,32.8,24.4
2018-06-18 05:07:01 UTC,2.72,0.0,2.72,0.0,22.14
2018-06-18 05:08:01 UTC,3.2,0.35,2.85,8.13,23.47
2018-06-18 05:09:01 UTC,3.12,0.0,3.12,0.0,25.2
2018-06-18 05:10:01 UTC,2.65,0.0,2.65,0.0,21.59
2018-06-18 05:11:01 UTC,10.52,1.88,8.64,45.82,68.2
2018-06-18 05:12:01 UTC,25.1,15.56,9.53,757.87,98.65
2018-06-18 05:13:01 UTC,4.78,1.41,3.36,37.41,27.82
2018-06-18 05:14:01 UTC,2.97,0.02,2.95,0.13,24.13
2018-06-18 05:15:01 UTC,3.32,0.53,2.78,8.93,22.67
2018-06-18 05:16:01 UTC,4.33,1.27,3.07,51.87,24.8
2018-06-18 05:17:01 UTC,4.28,1.2,3.08,79.87,25.07
2018-06-18 05:18:01 UTC,2.79,0.07,2.73,3.75,23.54
2018-06-18 05:19:01 UTC,10.23,3.25,6.97,48.88,54.33
2018-06-18 05:20:01 UTC,10.94,1.85,9.1,60.5,76.23
2018-06-18 05:21:01 UTC,4.7,1.43,3.27,36.67,26.4
2018-06-18 05:22:01 UTC,8.41,1.12,7.29,25.7,60.72
2018-06-18 05:23:01 UTC,10.63,2.06,8.56,54.41,87.93
2018-06-18 05:24:01 UTC,26.55,20.41,6.14,1294.19,55.48
